"ID";"SculpName";"Photo";"Author";"ManufactYear";"Material";"Description";"LocationPlace";"Longitude_WGS84";"Latitude_WGS84";"global_id";"geodata_center";"geoarea";
"153";"«Вавилонская башня»";"958d8eb5-af89-4a38-85f5-60a983816430";"Скульптор Григорьев";"";"Гранит, металл";"Каменный стержень, по которому перемещаются вверх и вниз человеческие фигуры.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886001749";"";"";
"154";"«Женский портрет»";"9c8b7852-ce0c-499e-9e86-abe6299097a3";"Автор неизвестен";"";"Мрамор";"Скульптурный портрет молодой девушки, чистое лицо, правильные черты лица. Пышные волосы, пробор справа, волосы забираются назад, высокая шея.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886004719";"";"";
"155";"«Звездочет»";"3b55e7a5-2b3f-4943-a4ee-e90cfb39b98d";"Скульптор Григорьев";"";"Мрамор";"Скульптурное изображение человека в виде креста (торс, туловище и схематические руки).";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886004809";"";"";
"156";"«Клио»";"d2aa2a41-2cad-45bb-b95c-2adb6565bb19";"Скульптор Смуров";"2003";"Известняк";"Скульптурное изображение богини истории Клио, стоящее в полный рост, в древнегреческой одежде. Клио держит перед собой свиток. Сосредоточенный взгляд направлен перед собой.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886004880";"";"";
"157";"«Куб номер один»";"4a183c3a-ff54-4e9b-b1d5-336ac8996064";"Скульптор Кураев";"";"Алюминий";"Четыре стороны куба: 1. Профиль В.И. Ленина. 2. Девушка и юноша, стоящие лицом друг к другу, к зрителю. 3. Серп и молот – подпись: «Слава труду». 4. Архитектурные элементы – символы направлений развития народного хозяйства.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886005067";"";"";
"158";"«Куб номер два»";"601a5436-0820-4a7a-8eeb-0ac96cd3d3be";"Скульптор Кураев";"";"Алюминий";"Четыре куба: 1. Два рабочих - строителя в касках и рукавицах в процессе укладки плит. 2. Семь человек стоящих в ряд – в центре сверху и снизу подпись на лентах «Мы придём к победе коммунистического труда. 3. Значок «Победитель соревнования». 4. Две женщины с корзинами.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886005217";"";"";
"159";"«Песнь о лозе»";"c825eade-c985-4cca-9150-215d72947493";"Скульптор Мерабишвили";"2003";"Доломит";"Обнаженная женщина с восточной фигурой в утонченном изгибе держит на правом плече лозу.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886009522";"";"";
"160";"«Портрет в парике» («Бюст Баха»).";"af57184c-26a0-4275-af6c-10cab4f99c3b";"Автор неизвестен";"1993";"Мрамор";"Скульптура изображает оплечный портрет дворянина в парике эпохи Просвещения. Полное с двойным подбородком лицо.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886024132";"";"";
"161";"«Портрет лейтенанта»";"7ffd3e19-1bd9-4037-ae0c-15407d5c4615";"Автор неизвестен";"";"Шамот обожжённый";"Бюст молодого человека в военной форме с погонами, взгляд устремлен вперед.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886024165";"";"";
"162";"«Портрет Люсиновой»";"2df4cb0a-c1db-4ada-b20c-b074e2b52d2b";"Автор неизвестен";"";"Гранит черный";"Скульптурное изображение молодой женщины в фас. Волосы убраны назад. Очерчены линии верхней одежды.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886024267";"";"";
"163";"«Портрет молодого человека»";"2e2a5b7e-d607-4ff2-b7f4-ececa4b76913";"Автор неизвестен";"";"Известняк";"Пышные волосы, уверенное лицо, в свитере.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886024386";"";"";
"164";"«Портрет паренька»";"c37d6af3-21c6-487e-9b62-99119da156a6";"Автор не известен";"";"Гранит";"Скульптурный портрет молодого человека с плотно сложенными губами и поднятым подбородком, высокой шеей. Пробор слева. Голова смотрит прямо.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886024434";"";"";
"165";"«Похищение Европы»";"bd744e4f-b0ba-4695-952c-2d73260ebd70";"Скульптор Субханкулов";"2003";"Известняк";"Скульптура изображает мифологический сюжет, голову и плечи быка, несущего на спине женщину (ноги, туловище, неясно выражено лицо и части рук).";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886024460";"";"";
"166";"«Танец»";"05d3950a-8391-4a7a-b1e7-e9ce2d44eaf9";"Скульптор Рзаев";"2003";"Известняк";"Скульптурное изображение утонченной восточной женщины, которая стоит, пригнувшись в танце на левое колено. Тонкие одежды, держит над головой бубен. На поясе – авторская подпись.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886024500";"";"";
"167";"«Авиценна»";"cde98179-4687-4b0f-9cd7-5f1f0b954b17";"Автор неизвестен";"";"Бронза, литье";"Скульптурный бюст целителя Авиценны. На голове чалма, на плечах халат.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886024567";"";"";
"168";"«Аматерасу» («Люби и будь любимым»)";"b23235eb-4c7a-4ded-870a-979bd3276953";"Скульптор Уваров";"2004";"Гранит красный";"Скульптура представляет фигуру женщины, данную в рост, облачена в традиционное кимоно, волосы уложены в характерную прическу. В руках держит раскрытый семичастный веер на уровне пояса. На веере надпись – иероглифами «люби и будь любимой. Сзади авторская подпись «Уваров А.А. 2004 г.»";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886024626";"";"";
"169";"«Ангел-хранитель»";"b33c882a-eaa7-44de-8545-ca805f4c61db";"Скульптор Плиев";"2004";"Известняк. Металл.";"Скульптурное изображение ангела, спускающегося с облака. В правой руке сжимает железное копьё. Лицо, руки и верхняя часть крыльев гладко отшлифована. Крылья служат точками опоры.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886024685";"";"";
"170";"«Балерина».";"e40b0ad6-45a8-4e87-810f-cde3bcea8274";"Скульптор Вяткин";"2004";"Известняк";"Скульптурное изображение фигуры балерины, данной в сложном танцевальном движении, тело откинуто назад и из этого положения корпуса идет плавный наклон вперед. Балерина облачена в длинное платье, нижняя часть которого заложена четкими графически складками. Черты лица не проработаны, левая часть лица дана выпукло, а правая вогнуто. Авторская подпись на складках юбки: Вяткин.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886024715";"";"";
"171";"«Вдохновение»";"50771ac8-a584-4443-a070-5cef64771957";"Скульптор Долмогомбетов";"2004";"Известняк";"Скульптурная композиция представляет фигуру сидящей женщины в длинном платье. Тело развернуто, идет опора на левую руку. Ноги опираются на пьедестал, колени согнуты, ступни разведены.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886050696";"";"";
"172";"«Весна»";"74921d8e-564c-43cd-b8ea-83d092f52370";"Скульптор Маркин";"2003";"Известняк";"Девушка, сидящая на камне, голова повернута назад, руки положены на колени.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886050729";"";"";
"173";"«Перевоплощение» («Волк в овечьей шкуре»)";"6cca2c6a-2af7-4be0-be0c-8ffa1f960c4f";"Скульптор Сережин";"2004";"Известняк";"Скульптурная композиция плоскостная. Имеет четко заданную точку зрения. На высоком камне скульптурное изображение композиции. Волк скалит зубы, поджимает хвост, на спине у него овчина, проработанная мелкими колечками, голова барана с двумя изогнутыми рогами расположена под мордой волка.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886050775";"";"";
"174";"«Лев»";"6408963c-d7e5-4984-b670-c855a0f7a426";"Скульптор Вантула";"2004";"Известняк";"Скульптурное изображение идущего льва морда которого повернута влево. Хвост согнут и соприкасается с задней правой лапой.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886050821";"";"";
"175";"«Любопытство»";"8a0d0268-f417-4d0c-a146-c7dde45c02fd";"Скульпто Ворохоб";"2004";"Известняк";"Скульптурная композиция представляет фигуру согнувшегося мужчины, который заглядывает в некое отверстие, которое пронизывает общий объем скульптуры. Голова опущена вниз.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886050860";"";"";
"176";"«Мистерия»";"c607dc75-7ef2-47d8-a28c-e2ae9044de04";"Скульптор Малютов";"";"Бронза, литье";"Скульптурная композиция представляет пухлого, обнажённого младенца, лежащего на прямоугольном постаменте. Младенец лежит на спине, ножки согнуты в коленях, колени соединены. Голова приподнята и повернута влево. С тыльной стороны подпись «inri».";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886050918";"";"";
"177";"«Обнаженная»";"fb91e8f4-7580-4125-ab2b-2e4d138d3e05";"Скульптор Рзаев";"2004";"Гранит красный";"Скульптура изображает лежащую обнажённую женщину. Женщина лежит, опираясь на локоть, ладонь руки закрывает рот и глаза. Голова откинута назад, волосы даны единой массой. Ноги подогнуты и отведены назад. На постаменте под локтем левой руки – авторский знак.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886051058";"";"";
"178";"Панно-стела. «СССР - Оплот мира»";"b97712a5-ea26-4b4b-bfa3-1b67af666eb4";"Скульптор Щекотихин";"";"Алюминий";"Монументальное панно-стела. Надпись классическими буквами внизу и сзади, по центру 2 герба СССР - смыкаются вместе одним краем. Стела крепится на кирпичной кладке (высота 1 м).";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886051191";"";"";
"179";"«Прайд»";"ddf11c46-9b19-41e6-a365-60a4bb0841ea";"Скульптор Глызина-Поливанова";"2004";"Черный гранит";"Скульптурная композиция представляет изображение львиной семьи. Верхнюю часть занимает фигура льва, под фигурой льва на гранитной основе изображена фигура львицы. Львица представлена сидящей, повернувшей голову назад, В низовом рельефе куба показан львенок.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886051242";"";"";
"180";"«Туфельки»";"be65a578-ae4e-4402-bb6e-68bbfcb8ba2b";"Скульптор Тугаринов";"1995";"Бронза, литье";"Маленькая обнаженная девушка, широко расставив ноги, шагает в женских туфлях большого размера. На голове – маленький хвостик фонтанчиком.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886051277";"";"";
"181";"«Феррари» («Конюшня Феррари»)";"5fea9660-2a15-4ada-bc11-f39d651863d5";"Скульптор Ежов";"2004";"Мрамор";"Скульптура представляет собой горизонтальную плиту, на которой представлена сложно составленная композиция. На плите имеется изображение лошади с закрытыми глазами, на лбу – номерной знак единица в окружности. Перед мордой надпись «finish». В центре голова мужчины в шлеме гонщика.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886051349";"";"";
"182";"«Философский камень»";"6b55c0e7-2727-4777-bc8b-1fe633d90680";"Скульптор Глызина-Поливанова";"1994";"Гранит черный";"Змея-кобра, подняв голову, свернулась клубком.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886051375";"";"";
"183";"«Царевна-лебедь»";"dccc4e75-0f6b-43ae-874f-1a5dcf9ad8fd";"Скульптор Богатырева";"2004";"Известняк";"Скульптура представляет фигуру стоящей девушки приблизительно две трети человеческого роста, данную в движении вперед. Голова склонена к левому плечу и постепенно переходит в оперение. Черты лица намечены графически. Авторский знак на талии.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886051408";"";"";
"184";"«Эпос»";"6917176f-15d9-4dfb-a080-cef3b2af2892";"Скульптор Нуриахметов";"2004";"Известняк";"Скульптура изображает удмуртский бытовой предмет: треножник, поставленный над костром. Наверху треножника – два национальных сосуда ладьеобразной формы. Верхний из сосудов имеет «ушки» для крепления ручек.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886051446";"";"";
"185";"«Юность»";"40f12a25-bf4b-4310-a473-61b612abdea4";"Скульптор Гарбарук";"2003";"Известняк";"Скульптура изображает сидящую обнаженную молодую девушку, лежащую в позе «Березка».";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886051479";"";"";
"186";"«Вечером» («Девочка в кресле»)";"648112e0-9831-46a8-8da2-d47664154f96";"Скульптор Панов";"2007";"Мрамор";"Девочка, поджав ножки, коленки наклонены вправо, сидит в кресле. Правая рука лежит на животе, левая опущена вдоль тела и пальцами касается пятки левой ноги. Голова с ободком слегка опущена вниз - вправо. Сзади авторский знак.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886056179";"";"";
"187";"«Девушка с кувшином»";"b324e960-f701-4f78-a182-4b9b3275ddfd";"Скульптор Лебедева";"";"Известняк";"Скульптурное изображение женщины, руки опущены вниз, спрятаны в складках платья, шарфа, голова повернута влево. Рядом с женщиной на дополнительном постаменте стоит кувшин.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886056240";"";"";
"188";"«Жертвоприношение»";"60c77aad-ffbb-4247-af66-bbbdc0d01b54";"Скульптор Бычков";"";"Известняк, бронза";"Скульптурное изображение опрокинутого навзничь быка на жертвенном камне. Голова закинута вниз. Ноги подняты вверх (ноги из металла).";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886056335";"";"";
"189";"«Колыбельная гения»";"237d7bc4-d1a2-4976-bff6-5929a37d4977";"Скульптор Панов";"2006";"Гранит серый";"Скульптурное изображение женщины, сидящей в длинном платье. Голова с наклоном чуть вправо – вниз. На коленях мать прижимает ребенка, левая рука направлена вниз, вдоль тела. Ребенок, поджав коленки, сидит, прижавшись к ней левым боком. На голове матери волосы забраны в пучок. Авторский знак.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886056362";"";"";
"190";"«Лев суздальский»";"02d98242-df45-4e10-95a2-9431155620f6";"Скульптор Колтухова";"";"Гранит красный";"Скульптурное изображение льва. Общая фактура, объемный параллелепипед. Вся фигура повернута вправо, голова, хвост. Четко выгравирована морда животного. Грива, усы, человеческое лицо – глаза, нос, брови, усы.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886056398";"";"";
"191";"«Менуэт»";"3e6c976f-b4f1-4b5e-b61b-1e499964330a";"Скульптор Лопухов";"2006";"Мрамор";"Скульптурное изображение мужчины и женщины эпохи Моцарта, в позе танца. Девушка в изящном платье, правая рука поднята вверх в стиле танца, левая положена на платье. Мужчина в парике, камзоле, правая рука лежит на высоко поднятой руке партнёрши, левая заведена за спину.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886056502";"";"";
"192";"«Материнство»";"dbd70756-fa2a-4f92-8146-aee879a97737";"Скульптор Слободчиков";"";"Бронза, литье";"Изображает сидящую женщину, прижимающую к телу и правому колену ребенка, голова женщины повернута влево.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886056574";"";"";
"193";"«Моцарт и Сальери»";"feaa5d08-e644-402d-bc09-b18b83ed38e7";"Скульптор Ульянов";"2006";"Серый гранит";"Скульптурное изображение двух музыкантов. Моцарт сидит за клавикорды, правая рука положена на клавиши, голова вдохновенно склонена к инструменту. Опираясь за клавикорды левым локтем, вдохновенно подпирает лицо – Сальери. В левой руке – листы бумаги. Авт. знак.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886056631";"";"";
"194";"«Моцарт»";"04b2cdb7-67e1-47d4-874a-a5f79da0880c";"Скульптор Балашов";"2006";"Мрамор, латунь";"Скульптурное изображение Моцарта, сидящего в одежде своей эпохи. На голове парик, одет в камзол, чулки, туфли. Лицо устремлено вперед, в правой руке перо, выполненное из латуни. Левая нога подогнута, правая за левой.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886056689";"";"";
"195";"«Музыка»";"c1fd3ef9-14dc-4be5-83ac-e731728805de";"Скульптор Вантула";"2006";"Серый гранит";"Скульптура изображает торс обнаженной девушки с одушевленным лицом. Девушка поднимает высоко над головой лиру. Волосы служат дополнением и являются подставкой для музыкального инструмента";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886056723";"";"";
"196";"«Пьета»";"1f652724-1c4f-4e03-8a15-e30770b30034";"Автор неизвестен";"";"Известняк";"Скульптурная композиция, напоминающая библейский сюжет. Сидящая женщина, выделенная из фактуры камня. На её руках лежит человек, в ногах которого сидит скорбящая фигура.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886056754";"";"";
"197";"«Репетиция оркестра» («Блюз»)";"95515552-0b5f-424b-b4d2-a0b860ffaccc";"Скульптор Смуров";"2006";"Мрамор";"Скульптурное изображение в одном многоуровневом объеме множества разных инструментов, положенных один на другой, с выделяющимися объемами разных форм. Авторский знак.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886056883";"";"";
"198";"«Солдат»";"7f638e1f-2ad3-4b5d-965b-3b27c39ca326";"Скульптор Чернов";"";"Гранит красный";"Скульптурный бюст в фас молодого солдата в пилотке (образ Виталия Соломина).";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886056957";"";"";
"199";"«Суворов в Альпах»";"e8d1b97e-3f8b-4b69-9224-fffe574a0696";"Скульптор Тугаринов";"";"Бронза, литье";"Скульптурное изображение великого русского полководца А.В. Суворова в момент перехода через Альпы. Полководец верхом на коне, в правой руке победно поднята сабля. Конь приподнят на задние ноги и опирается о хвост.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886056970";"";"";
"200";"«Схватка со львом»";"6383c246-d09f-47a2-b8bf-e84581b16dd6";"Скульптор Балашов";"";"Известняк";"Скульптурная композиция изображает в схватке человека обхватившего за шею льва. Лев лапами обхватил туловище человека";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886056990";"";"";
"201";"«Вита» («Жизнь»)";"f9b5f636-955b-4a91-80cc-5d6d726df76b";"Скульптор Павленко";"2007";"Известняк, стекло";"Скульптурное изображение вазы в виде спирали – движения. Спираль в два с половиной витка. Сверху «внутри спирали» выемка для цветов";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886057102";"";"";
"202";"«Девочка с собакой»";"e4cd1cad-dd35-4ba2-a9d7-6f035d9a71de";"Скульптор Байков";"2008";"Доломит";"Скульптурное изображение девочки, сидящей верхом на спине лежащей собаки. Голова собаки показана в повороте назад и вправо. Таким образом, с ракурса анфас зритель видит лицо девочки строго фронтально, а голову собаки в профильном повороте. Волосы девочки собраны на затылке. Руками ребенок держит собаку за левое ухо. Тело девочки гладко отполировано, черты лица практически не обозначены. Шкура собаки проработана фронтально.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886057159";"";"";
"203";"«Лебеди»";"24c41c0a-2d62-44ef-90f1-c9ae5710ec3a";"Скульптор Алиева";"2008";"Известняк";"Круглая скульптурная композиция. Обобщенно изображены два лебедя, соединены воедино. Их шеи опущены, головы касаются друг друга в самой нижней части композиции. Поднятое крыло одной из птиц является высшей точкой.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886057192";"";"";
"204";"«Мадонна с младенцем»";"10a2caed-9084-4000-a379-eced534d2e1f";"Скульптор Субханкулов";"2007";"Гранит";"Изображение матери с ребенком. Женщина сидит на коленях, пятки прижаты друг к другу.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886057269";"";"";
"205";"«Материнство»";"4dc6a05f-ee5e-4633-8388-7faa6ba9f87e";"Скульптор Ульянов";"2007";"Мрамор";"Скульптурное изображение обнаженной молодой женщины с ребенком объёмных размеров. Правая нога подложена под левую. Левая нога поднята вверх. Правая рука согнута в локте и ладонью поддерживает ноги ребенка, левая рука чуть выдвинута вперед и ладонь держит спину обнаженного малыша. Волосы женщины убраны назад в пучок.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886057375";"";"";
"206";"«Медуза»";"30ec81d7-0b44-4d32-9978-b47e0edcf61b";"Скульптор Волохов";"2007";"Известняк";"Изображение вазы для цветов (выемка сверху) с юбочкой медузы в легком пластическом движении.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886057422";"";"";
"207";"«Мишка с мячом»";"1c54ef87-f75b-41ac-b897-fc91c5224154";"Скульптор Воробьева";"2008";"Известняк";"Стоящий на передних лапах медведь. Композиция строится по вертикальному принципу. Опорой для объема головы медведя служит лежащий внизу мяч. Задние лапы развернуты относительно головы почти на 90 градусов. Объем фигуры лишен детализации и максимально обобщен.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886057520";"";"";
"208";"«Наутилус»";"e7991bfe-6fb0-4b45-84bf-24ac5c513dee";"Скульптор Сазонова";"2007";"Известняк, стекло";"Ваза для цветов в виде раковины, закрученной в спираль. По краю раковины выработка в виде множественных граней, краской прочерчена спираль и окружность вокруг проёма, вода оформлена разноцветной мозаикой и смальтой.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886057565";"";"";
"209";"«Пробуждение»";"1f99b3cb-b7e0-4343-beaf-c320304da379";"Скульптор Смуров";"2007";"Мрамор, гранит серый (постамент)";"Скульптурное изображение обнаженного мальчика, лежащего на левом боку с небольшим перевесом назад. Голова лежит на запрокинутой левой руке и смотрит влево. Правая рука лежит вдоль тела с правой стороны.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886057605";"";"";
"210";"«Слоник»";"83a8d8f8-aa73-4fe2-a298-75e609ba46fa";"кульптор Исакина";"2008";"Известняк, мрамор";"Обобщенное изображение слона. Цельный объем фигуры. Хобот над поднятой головой образует пятно. Небольшие бивни из мрамора продолжают линию наклона спины. Глаз трактован в виде врезного рельефа.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886057693";"";"";
"211";"«Танец рыб»";"ac99ae0c-3c35-429a-b25f-825384e731d8";"Скульптор Жиганова";"2007";"Известняк";"Ваза, выполненная в рамках мастер-класса по скульптуре по дизайну. Вертикальная форма, которую обвевает рыба в движении. Сверху выемка для цветов.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886057726";"";"";
"212";"«Яблоко»";"7e66be58-6d41-475f-ab17-e1a57c3cd31f";"Скульптор Калугина";"2008";"Доломит, металл";"Изображение круглого объема, вытянутого в овал и как бы «срезано» по двум противоположным сторонам. В центре вырезано часть яблока, через отверстие сверху продет металлический стержень, выступающий сверху.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886057775";"";"";
"213";"«Адамово яблоко»";"39d8272a-2b4e-4644-abf6-06cac058c9b2";"Скульптор Балашов";"2008";"Мрамор";"Изображение мужчины и женщины, сидящих спиной к спине на яблоке. Обе фигуры прислонены спинами в области затылка с левой стороны, лопаток и копчика, руки у обоих сложены между коленями в свободном состоянии. Ступни ног вытянуты вдоль яблока.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886057846";"";"";
"214";"«Девочка с собакой»";"fcebad6b-40c4-4c51-bb3f-94fae9f355e4";"Скульптор Свириденко";"2005";"Известняк";"Стоящая девочка с собакой";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886057950";"";"";
"215";"«Иван»";"6b3a8440-652d-449b-b03e-3989cecc2585";"Скульптор Старцева";"2003";"Бронза, литье";"Изображен сидящий на скамье мальчик, обнаженный по пояс, в широких брюках.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886058365";"";"";
"216";"«О как мне дорог центр города»";"da52aaf0-1dd0-4d41-8a8f-15c425b8d758";"Скульптор Рауэ";"1998";"Мрамор";"Скульптурная стела памяти поэта Гуркина В.П.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886058414";"";"";
"217";"«Руки»";"6ac0a380-bb7c-43ae-86b0-8f9317dfd4b6";"Скульптор Евдокимов";"2008";"Известняк";"Изображает мужскую руку (ладонь полуоткрыта), держащую маленькую фигурку ребенка.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886058450";"";"";
"218";"«Бюст Синдо Кането»";"b9aaba6a-ffcf-45d1-8dce-d8f0499ad1d3";"Скульптор Потоцкий";"2006";"Бронза, литье";"Отлитый в бронзе портрет известного японского режиссера; голова немного поднята вверх, наиболее выразительна верхняя часть лица с широко расставленными глазами, большим лбом и гривою волос.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886058477";"";"";
"219";"«Бюст Хорхе Икасу»";"1caf64da-5344-4822-a99e-d82b86a2e2a2";"Неизвестный автор";"2008";"Бронза, литье";"Голова поставлена прямо. Волосы зачесаны назад; четко выражен серьезный и мудрый взгляд, в пиджаке, в рубашке с галстуком.";"Парк Горького. Парк искусств «МУЗЕОН»";"37.606738";"55.733285";"886058503";"";"";
"220";"Скульптурная композиция «Плодородие»";"158d346f-f3a1-46dc-b559-ac2df7c6105d";"Скульпторы Мухина, Зеленская, Сергеев, архитектор Рожин";"1963";"Бронза";"Парень и девушка, держащие над головами корзину с плодами";"Справа при входе в парк «Дружбы» со стороны Ленинградского шоссе";"37.473583";"55.852093";"886959164";"";"";
"221";"Скульптурная композиция «Хлеб»";"4b3d87b2-92c7-46b7-b4e6-a670e9fa0d2e";"Скульпторы Мухина, Зеленская, Сергеев, архитектор Рожин";"1963";"Бронза";"Две молодые девушки поднимают над головой огромный сноп колосьев";"Слева при входе в парк «Дружбы» со стороны Ленинградского шоссе";"37.473274";"55.852636";"886959248";"";"";
"222";"Памятник «Воинам павшим в Афганистане»";"30cfccd4-425f-42ce-a78c-1a30060aafeb";"не известен";"1998";"гранит, диабаз";"Памятник предстааляет собой стеллу-плиту из черного полированного диабаза. Стела установлена под наклоном и основанием уходит в землю. Постаментом ей служит рядом стоящий серый гранитный блок, на который опирается стела. На плите вырезана надпись, тонированная серебряной краской: «Воинам павшим в Афганистане».";"Москва, САО, парк «Дружбы»";"37.483572";"55.855227";"886959569";"";"";
"223";"Скульптурная композиция «Дети мира»";"b0736b6b-9872-4a69-8129-157c8fdcbac1";"Скульптор - Анти Неувонен Архитекторы - Игорь Николаевич Воскресенский, Юрий Владимирович Калмыков";"1990";"Бронза, гранит";"Скульптурная композиция «Дети мира» состоит из фигур матери, отца, держащего младенца на руках, и подростка. Вылитые из бронзы фигуры достаточно абстрактны, имеют несколько необычную фактуру. Композиция была подарена в ответ на российскую композицию Ю. Кирюхина «Мир во всем мире», установленную в хельсинском парке Дружбы 14 января 1990 г.";"Москва, САО, парк «Дружбы»";"37.475617";"55.851789";"886960061";"";"";
"224";"Скульптурная композиция «Фестивальный цветок»";"657d62cf-3948-487c-bfd2-e683a5b872e4";"Скульптор - Александр Иулианович Рукавишников, архитекторы - Игорь Николаевич Воскресенский, Юрий Влаимирович Калмыков, Д И Воскресенская";"1985";"Бронза, бетон, гранит";"Скульптурная композиция была установлена к проведению XII Всемирного фестиваля молодежи и студентов (1985). Представляет собой бронзовые фигуры юноши и девушки, выпускающих голубей. Постамент, облицованный гранитом, по форме напоминает эмблему фестиваля, состоящую из пяти медальонов из бронзы (по числу континентов мира) с летящим голубем на каждом из них.";"Москва, САО, парк «Дружбы»";"37.486237";"55.853637";"886960864";"";"";
